task_id,description
1,Blood collection
2,Equipment maintenance
3,Data entry
4,Lab equipment calibration
5,Blood typing and testing
6,Inventory management
7,Donor screening
8,Quality control
9,Regulatory compliance
10,Patient data recording
11,Staff training
12,Blood storage management
13,Donation appointment scheduling
14,Public awareness campaign
15,Emergency response planning
16,Medical record keeping
17,Facility cleaning and sterilization
18,Supply chain coordination
19,Health and safety audit
20,Volunteer coordination
21,Cold chain monitoring
22,Blood bag labeling
23,Cross-matching procedures
24,Sample collection
25,Testing equipment validation
26,Waste disposal management
27,Donor follow-up
28,Adverse reaction monitoring
29,Inventory auditing
30,Shipment coordination
31,Blood transport logistics
32,Laboratory documentation
33,Donor eligibility verification
34,Consent form processing
35,Emergency blood request handling
36,Stock replenishment planning
37,Quality assurance checks
38,Lab result validation
39,Patient matching verification
40,Cold storage inspection
41,Equipment sterilization
42,Test sample tracking
43,Donor registration
44,Appointment reminders
45,Blood unit tracking
46,Compliance reporting
47,Audit preparation
48,Clinical data review
49,Inventory reconciliation
50,Safety protocol enforcement
